Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
CTG 14.5MM,CTG 14.5 MM,Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,3851,3851,0,0,0,19255,5776.5,-70.00%,187,858.773
"CTG, SIGNAL, ILLUM","CTG, SIGNAL, ILLUM",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,4000,4000,0,0,0,30160,9048,-70.00%,187,1345.136
"CTG, FLARE, XM19","CTG, FLARE, XM19",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,4000,4000,0,0,0,240000,72000,-70.00%,187,10704
CTG 14.5 MM,CTG 14.5 MM,Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,4250,4250,0,0,0,21250,6375,-70.00%,187,947.75
CTG 4.2 HE,CTG 4.2 HE,Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,5000,5000,0,0,0,545000,163500,-70.00%,187,24307
"CTG, 40 MM, HE","CTG, 40 MM, HE",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,8336,8336,0,0,0,104700.16,31410.05,-70.00%,187,4669.6272
"DYNAMITE, MILITARY, M1","DYNAMITE, MILITARY, M1",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,20000,20000,0,0,0,9200,2760,-70.00%,187,410.32
"CTG, 50 CAL, API","CTG, 50 CAL API",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,30000,30000,0,0,0,43500,13050,-70.00%,187,1940.1
"CTG, 50 CAL, BLANK","CTG, 50 CAL, BLANK",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,30000,29920,0,0,0,27300,8190,-70.00%,187,1217.58
"CTG, 50 CAL AP","CTG, 50 CAL AP",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,39049,38930,0,0,0,14448.13,4334.44,-70.00%,187,644.38663
"CTG, 50 CAL, AP","CTG, 50 CAL AP",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,40000,39595,0,0,0,14800,4440,-70.00%,187,660.08
"CTG, 50 CAL, BALL",CTG .50 CAL BALL,Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,50000,49980,0,0,0,21150,6345,-70.00%,187,943.29
CTG 50 CAL API,"CTG, 50 CAL API",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,78320,78320,0,0,0,113564,33677.6,-70.34%,187,5052.4232
CTG 5.56 TRACER,"CTG, 5.56 TRACER",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,100000,100000,0,0,0,24000,7200,-70.00%,187,1070.4
"CTG, 22 CAL, BALL",CTG 22 Cal Ball,Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,100000,100000,0,0,0,2000,600,-70.00%,187,89.2
"CTG, 50 CAL API, M8","CTG, 50 CAL API, M8",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,150000,149820,0,0,0,49500,14850,-70.00%,187,2207.7
"CTG, 50 CAL BALL AND TRACER",CTG 50 CAL BALL AND TRACER,Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,150210,150210,0,0,0,211796.1,63538.83,-70.00%,187,9446.10606
"CTG, 22 CAL, LONG RANGE","CTG, 22 CAL, LONG RANGE",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,200000,200000,0,0,0,16000,4800,-70.00%,187,713.6
"CTG, 50 CAL, BLANK","CTG, 50 CAL, BLANK",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,300000,122932,0,0,0,63900,19170,-70.00%,187,2849.94
"CTG, 22 CAL, BALL STANDARD VELOCITY","CTG, 22 CAL, BALL STANDARD VELOCITY",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,500000,500000,0,0,0,10000,3000,-70.00%,187,446
"CTG, 5.56 TRACER","CTG, 5.56 TRACER",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,500000,498960,0,0,0,120000,36000,-70.00%,187,5352
"CTG, 5.56 TRACER","CTG, 5.56 TRACER",Grant Authority,1/1/2011,Army,Ecuador,Service Authorized to Supply EDA,7/7/2011,3000000,2998800,0,0,0,720000,216000,-70.00%,187,32112
STANDARD RIBBON BRIDGE RAMP BAY BRIDGE FLOAT,STANDARD RIBBON BRIDGE RAMP BAY BRIDGE FLOAT,Grant Authority,1/1/2011,Army,Iraq,Service Authorized to Supply EDA,7/18/2011,3,3,0,0,0,141120,28224,-80.00%,198,5842.368
STANDARD RIBBON BRIDGE INTERIOR BAY,STANDARD RIBBON BRIDGE INTERIOR BAY,Grant Authority,1/1/2011,Army,Iraq,Service Authorized to Supply EDA,7/18/2011,23,23,0,0,0,964620,192924,-80.00%,198,39935.268
"CGC RUSH, HIGH ENDURANCE CUTTER","CGC RUSH, HIGH ENDURANCE CUTTER",Grant Authority,1/1/2011,Navy,Bangladesh,EDA Cancelled,7/26/2011,1,1,0,0,0,69339820,6933981,-90.00%,206,2648781.092
P-3C AIRCRAFT,P-3C AIRCRAFT,FMS Sales,1/1/2011,Navy,Germany,EDA Delivered,8/3/2011,1,1,1,0,1,23000000,1150000,-95.00%,214,841800
CPCV TRUCK UTILITY,CPCV TRUCK UTILITY,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,26543,5308.6,-80.00%,220,1098.8802
CPCV TRUCK UTILITY,CPCV TRUCK UTILITY,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,29760,2976,-90.00%,220,1136.832
CPCV TRUCK UTILITY 4X4,CPCV TRUCK UTILITY 4X4,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,34830,3483,-90.00%,220,1330.506
CPCV TRUCK VAN PASSENGER,TRUCK VAN PASSENGER,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,25000,2500,-90.00%,220,955
"CPCV TRUCK,WATER","CPCV TRUCK,WATER",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,116566,23313.2,-80.00%,220,4825.8324
"TANK,WATER,TRLR MTD","TANK,WATER,TRLR MTD",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,9184,918.4,-90.00%,220,350.8288
CPCV TRUCK UTILITY,CPCV TRUCK UTILITY,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,98000,19600,-80.00%,220,4057.2
CPCV TRUCK FUEL TANKER,CPCV TRUCK FUEL TANKER,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,62670,6267,-90.00%,220,2393.994
CPCV TRUCK FUEL TANKER 1200,CPCV TRUCK FUEL TANKER 1200,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,10500,1050,-90.00%,220,401.1
CPCV TRUCK WATER TANKER 5000G,CPCV TRUCK WATER TANKER 5000G,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,89046,8904.6,-90.00%,220,3401.5572
"CPCV TRUCK,FUEL","CPCV TRUCK,FUEL",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,179764,35952.8,-80.00%,220,7442.2296
"CPCV BUS, PASSENGER","CPCV BUS, PASSENGER",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,5610,1122,-80.00%,220,232.254
CPCV MINIVAN SPACEGEAR 2400,CPCV MINIVAN SPACEGEAR 2400,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,5000,500,-90.00%,220,191
"CPCV TRUCK,VAN,PASSENGER",TRUCK VAN PASSENGER,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,20000,4000,-80.00%,220,828
CPCV TRUCK CREW CAB PICKUP,CPCV TRUCK CREWCAB PICKUP,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,20000,2000,-90.00%,220,764
CPCV TRUCK CREWCAB PICKUP,CPCV TRUCK CREWCAB PICKUP,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,23800,2380,-90.00%,220,909.16
CPCV TRUCK MITSUBISHI L200,CPCV TRUCK MITSUBISHI L200,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,17000,1700,-90.00%,220,649.4
CPCV TRUCK TRACTOR,CPCV TRUCK TRACTOR,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,1,1,1,0,1,90000,36000,-60.00%,220,4302
CPCV TRUCK PICKUP 4X5,CPCV TRUCK PICKUP 4X5,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,2,2,2,0,2,33100,3310,-90.00%,220,1264.42
CPCV TRACTOR FORKLIFT 3K,CPCV TRACTOR FORKLIFT 3K,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,2,2,2,0,2,74104,7410.4,-90.00%,220,2830.7728
"CPCV TRUCK,FUEL","CPCV TRUCK,FUEL",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,3,3,3,0,3,286950,57390,-80.00%,220,11879.73
CPCV TRUCK UTILITY,CPCV TRUCK UTILITY,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,3,3,3,0,3,79629,7962.9,-90.00%,220,3041.8278
"SKYWATCH TOWER, FRONTIER","SKYWATCH TOWER, FRONTIER",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,4,4,4,0,4,441572,44157.2,-90.00%,220,16868.0504
CPCV TRUCK UTILITY 4X5,CPCV TRUCK UTILITY 4X5,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,8/9/2011,6,6,6,0,6,159258,15925.8,-90.00%,220,6083.6556
MT TRIPOD MG 7.62MM M122,MT TRIPOD MG 7.62MM M122,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,EDA Delivered,8/10/2011,4,4,4,0,4,2476,495.2,-80.00%,221,102.5064
"PROTECTOR,RECEIVER","PROTECTOR,RECEIVER",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,EDA Delivered,8/10/2011,9,9,9,0,9,717714,358857,-50.00%,221,36603.414
MT TRIPOD MG 7.62MM M122,MT TRIPOD MG 7.62MM M122,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,EDA Delivered,8/10/2011,13,13,13,0,13,8047,804.7,-90.00%,221,307.3954
MOUNT TRIPOD CAL 50 M3,MOUNT TRIPOD CAL 50 M3,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,EDA Delivered,8/10/2011,21,21,21,0,21,15897,6358.8,-60.00%,221,759.8766
"PERISCOPE,ARMORED V","PERISCOPE,ARMORED V",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,EDA Delivered,8/10/2011,231,231,231,0,231,131901,65950.5,-50.00%,221,6726.951
ANTENNA SUBASSEMBLY,ANTENNA SUBASSEMBLY,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Israel,EDA Delivered,8/10/2011,300,300,300,0,300,1374300,687150,-50.00%,221,70089.3
"TEXTILES, CLOTHING, PERSONAL GEAR/EQUIP","TEXTILES, CLOTHING, PERSONAL GEAR/EQUIP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Cameroon,Service Authorized to Supply EDA,8/18/2011,0,0,0,0,0,73169,14634,-80.00%,229,3029.203
OFFICE MACHINES & SUPPLIES,OFFICE MACHINES & SUPPLIES,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Philippines,Service Authorized to Supply EDA,8/18/2011,0,0,0,0,0,66066.1,19819.83,-70.00%,229,2946.54806
FURNITURE,FURNITURE,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Philippines,Service Authorized to Supply EDA,8/18/2011,0,0,0,0,0,66066.1,19819.83,-70.00%,229,2946.54806
ELECTRONIC EQUIPMENT & COMPONENTS,ELECTRONIC EQUIPMENT & COMPONENTS,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Philippines,Service Authorized to Supply EDA,8/18/2011,0,0,0,0,0,132132.19,39639.66,-70.00%,229,5893.09577
ADP EQUIPMENT,ADP EQUIPMENT,Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Philippines,Service Authorized to Supply EDA,8/18/2011,0,0,0,0,0,66066.1,19819.83,-70.00%,229,2946.54806
OH-58 HELICOPTER REPAIR PARTS,OH-58 HELICOPTER REPAIR PARTS,Grant Authority,1/1/2011,Army,Iraq,Service Authorized to Supply EDA,8/24/2011,0,0,0,0,0,2199039,1107133,-49.65%,235,112394.621
"M88A1 RECOVERY VEHICLE, FULL TRACKED","M88A1 RECOVERY VEHICLE, FULL TRACKED",Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,8/24/2011,21,21,20,0,20,25425855,5085171,-80.00%,600,1052630.397
AIRCRAFT ENGINES (FOR A-4),AIRCRAFT ENGINES (FOR A-4),FMS Sales,1/1/2010,Navy,Argentina,EDA Delivered,8/26/2011,10,10,10,0,10,12600000,1260000,-90.00%,602,481320
"TRACK, M113A2, AMBULANCE","TRACK, M113A2, AMBULANCE",Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,8/31/2011,68,68,68,0,68,16624912,3324982.4,-80.00%,607,688271.3568
"CTG, 50 CAL AP","CTG, 50 CAL AP",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,1680,1680,0,0,0,537.6,161.28,-70.00%,251,23.97696
"CTG, 50 CAL","CTG, 50 CAL",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,7000,7000,0,0,0,2450,735,-70.00%,251,109.27
"CTG, 30 CAL BALL","CTG, 30 CAL BALL",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,19254,19254,0,0,0,3658.26,1097.48,-70.00%,251,163.15846
"CTG, 50 CAL API","CTG, 50 CAL API",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,78320,78320,0,0,0,113564,34069.2,-70.00%,251,5064.9544
"CTG, 50 CAL AP","CTG, 50 CAL AP",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,78644,78644,0,0,0,8650.84,2595.25,-70.00%,251,385.8274
"CTG, 30 CAL BALL","CTG, 30 CAL BALL",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,255721,255721,0,0,0,40915.36,12274.61,-70.00%,251,1824.82512
"CTG, 50 CAL API","CTG, 50 CAL API",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,488558,488558,0,0,0,156338.56,46901.57,-70.00%,251,6972.69984
"CTG, .30 CAL BALL","CTG, 30 CAL BALL",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,559440,559440,0,0,0,33566.4,10069.92,-70.00%,251,1497.06144
"CTG, 30 CAL BALL","CTG, 30 CAL BALL",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,2619018,2619018,0,0,0,654754.5,196426.35,-70.00%,251,29202.0507
"CTG, 30 CAL BALL","CTG, 30 CAL BALL",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,5217027,5217027,0,0,0,104340.54,31302.16,-70.00%,251,4653.58802
"CTG, 5.56 MM","CTG, 5.56 MM",FMS Sales,1/1/2011,Army,Israel,Service Authorized to Supply EDA,9/9/2011,23425825,23425825,0,0,0,5622198,1686659.4,-70.00%,251,250750.0308
TRAILER,TRAILER,Grant Authority,1/1/2011,Army,Greece,Service Authorized to Supply EDA,9/13/2011,2,2,0,0,0,1888,94.4,-95.00%,255,69.1008
M1A1 ABRAMS TANK,M1A1 ABRAMS TANK,Grant Authority,1/1/2011,Army,Greece,Service Authorized to Supply EDA,9/13/2011,400,400,0,0,0,957375600,95737560,-90.00%,255,36571747.92
UH-1H SYNTHETIC FLIGHT TRAINING SYSTEM,UH-1H SYNTHETIC FLIGHT TRAINING SYSTEM,Grant Authority,1/1/2011,Army,Bosnia and Herzegovina,Service Authorized to Supply EDA,9/14/2011,1,1,0,0,0,2225000,890000,-60.00%,256,106355
M1064 MORTAR CARRIER,M1064 MORTAR CARRIER,Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,9/28/2011,66,0,17,0,17,13200000,2640000,-80.00%,635,546480
TOWED HOWIZITER,TOWED HOWIZITER,Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,9/28/2011,66,0,24,0,24,68135562,13627112.4,-80.00%,635,2820812.267
TEXTILES/CLOTHING/INDIVIDUAL GEAR AND EQUIP,"TEXTILES, CLOTHING, INDIVIDUAL GEAR/EQUIP",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Togo,EDA Delivered,9/30/2011,0,0,0,0,0,1000000,500000,-50.00%,272,51000
ELECTRICAL COMPONENTS,ELECTRICAL COMPONENTS,FMS Sales,1/1/2010,Defense Logistics Agency (DLA),Argentina,EDA Delivered,9/30/2011,0,0,0,0,0,2934343.26,146717.16,-95.00%,637,107396.9632
Vehicular Equipment Components,VEHICULAR EQUIPMENT COMPONENTS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Delivered,9/30/2011,0,0,0,0,0,2596741.61,519348.32,-80.00%,637,107505.1026
Tires and Tubes,Tires and Tubes,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Delivered,9/30/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,637,53752.55112
Non-aircraft Engines and Components,Non-aircraft Engines and Components,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Delivered,9/30/2011,0,0,0,0,0,2596741.61,519348.32,-80.00%,637,107505.1026
Pumps and Compressors,Pumps and Compressors,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Delivered,9/30/2011,0,0,0,0,0,2596741.61,519348.32,-80.00%,637,107505.1026
Electrical and Electronic Equipment Components,ELECTRICAL AND ELECTRONIC EQUIPMENT AND COMPONENTS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Delivered,9/30/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,637,53752.55112
"Fiber Optics Matrls, Comps, Assemblies & Accessrs","Fiber Optics Matrls, Comps, Assemblies & Accessrs",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Cambodia,EDA Delivered,9/30/2011,0,0,0,0,0,1298370.8,259674.16,-80.00%,637,53752.55112
"WEAPONS PARTS, CAMO EQUIPMENT","WEAPONS PARTS, CAMO EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2011,0,0,0,0,0,135292,27058,-80.00%,637,5601.076
"TEXTILES, CLOTHING AND INDIVIDUAL EQUIPMENT","TEXTILES AND CLOTHING, INDIVIDUAL EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Delivered,9/30/2011,0,0,0,0,0,35022.24,17511.12,-50.00%,637,1786.13424
MAINTENANCE & REPAIR SHOP EQUIPMENT,MAINTENANCE & REPAIR SHOP EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Delivered,9/30/2011,0,0,0,0,0,35022.24,17511.12,-50.00%,637,1786.13424
MATERIALS HANDLING EQUIPMENT,Materials Handling Equipment,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Delivered,9/30/2011,0,0,0,0,0,35022.24,17511.12,-50.00%,637,1786.13424
"TRUCK, TANK, FS, 2.5T, WW","TRUCK, TANK, FS, 2.5T, WW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2011,1,1,0,1,1,85762,34304.8,-60.00%,637,4099.4236
20 PASSENGER BUS,20 PASSENGER BUS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Dominican Republic,EDA Delivered,9/30/2011,1,1,0,0,1,30000,12000,-60.00%,637,1434
AIR COMPRESSOR,AIR COMPRESSOR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2011,1,1,1,0,1,1060.88,106.09,-90.00%,637,40.52568
CPCV CAMERA CANON DOCUMENT,CPCV CAMERA CANON DOCUMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2011,1,1,1,0,1,750,75,-90.00%,637,28.65
CPCV CAMERA ID AND PASSPORT,CPCV CAMERA ID AND PASSPORT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2011,1,1,1,0,1,1000,100,-90.00%,637,38.2
BINOCULAR,BINOCULAR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2011,1,1,1,0,1,337,67.4,-80.00%,637,13.9518
TRAILER COMMERCIAL 20FT,TRAILER COMMERCIAL 20FT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,15500,3100,-80.00%,637,641.7
TRAILER COMMERCIAL 20FT,TRAILER COMMERCIAL 20FT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,16500,3300,-80.00%,637,683.1
SEMITRAILER LOW BED,SEMITRAILER LOW BED,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,18000,3600,-80.00%,637,745.2
BOX TRUCK,BOX TRUCK,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,18500,3700,-80.00%,637,765.9
AUTOMOBILE SEDAN,"SEDAN, AUTOMOBILE",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,16400,3280,-80.00%,637,678.96
"TRUCK, AMBULANCE, 1 1/4 TON 4X4 M1010","TRUCK, AMBULANCE, 1 1/4 TON 4X4 M1010",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,37409,3740.9,-90.00%,637,1429.0238
"TRUCK AMBULANCE, TRK AMB EMS 4X2 MOD","TRUCK AMBULANCE, TRK AMB EMS 4X2 MOD",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,33622,6724.4,-80.00%,637,1391.9508
"TRUCK AMBULANCE, FORD F350","TRUCK AMBULANCE, FORD F350",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,52231,20892.4,-60.00%,637,2496.6418
TRUCK CARRYALL,"TRUCK,CARRYALL",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,27952,11180.8,-60.00%,637,1336.1056
TRUCK TRACTOR,"TRUCK, TRACTOR",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,82760,33104,-60.00%,637,3955.928
TRUCK TRACTOR 4X2,TRUCK TRACTOR 4X2,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,37968.5,7593.7,-80.00%,637,1571.8959
TRUCK STAKE 9-1/2T 6X6,TRUCK STAKE 9-1/2T 6X6,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,57058,22823.2,-60.00%,637,2727.3724
TRUCK CARGO,"TRUCK,CARGO",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,8823,3529.2,-60.00%,637,421.7394
TRUCK CARGO 2.5T ESP M44A3,TRUCK CARGO 2.5T ESP M44A3,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,56500,11300,-80.00%,637,2339.1
CPCV MERCEDES TRUCK SPEC PURP,CPCV MERCEDES TRUCK SPEC PURP,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,35000,10500,-70.00%,637,1561
VW PASSAT,VW PASSAT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,24000,4800,-80.00%,637,993.6
TRUCK VAN PASSENGER,TRUCK VAN PASSENGER,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,30713,12285.2,-60.00%,637,1468.0814
PASSANGER VEHICLE CHEVY ASTR,PASSANGER VEHICLE CHEVY ASTR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,21000,4200,-80.00%,637,869.4
FORD VAN,FORD VAN,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,20720.72,4144.14,-80.00%,637,857.83768
VW VAN,VW VAN,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,22078.4,4415.68,-80.00%,637,914.04576
FORD VAN,FORD VAN,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,14770.27,1477.03,-90.00%,637,564.22441
VD 08 198 FORD VAN,VD 08 198 FORD VAN,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,14000,2800,-80.00%,637,579.6
VD 08 200 FORD VAN,VD 08 200 FORD VAN,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,14000,2800,-80.00%,637,579.6
AERIAL SERVICE BASKET TRUCK,AERIAL SERVICE BASKET TRUCK,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,9/30/2011,1,1,1,0,1,36714,14685.6,-60.00%,637,1754.9292
